ref,citation_0,citation_1,citation_2,citation_3,citation_4,citation_5,citation_6,citation_7,citation_8,citation_9,citation_10,citation_11,citation_12,citation_13,citation_14,citation_15,citation_16,citation_17,citation_18,citation_19,citation_20,citation_21,citation_22,citation_23,citation_24
reference_35,5.0022115494446755,3.8023397635138036,3.597542529374194,3.7381017452608347,3.8680525563765418,3.532085875999868,3.4198102885971933,3.5192779299618007,3.3833363349503642,3.7066141452360153,3.6668514599030946,3.9006807168791355,3.9558322521211395,3.542306035000086,3.493018629181051,inf,3.6541427630861403,3.3892578213203612,3.6235950715257808,3.7079580361730615,3.642606990572822,3.565584081022108,3.68583326005578,inf,3.5968330703887945
reference_36,4.745754300424576,3.7684999928569796,3.4720412178688393,3.5709611837076904,3.6595745923712135,3.341596214991379,3.253073419707218,3.356184644451141,2.5864145689544693,3.5903868120709657,3.454273959853837,3.683057227926286,3.6561163907089234,3.4560018969357014,3.4354650933799262,inf,3.4850992733731263,3.277017225285132,3.393744205512137,3.523043338226038,3.425554402772977,3.1796517799875788,3.554991383202076,inf,3.4117809818614484
reference_37,4.8046562918478015,3.758122162602496,3.46712484944301,3.5088175336494447,3.606417105543019,3.353803103553772,3.08397756436468,3.3957961832883474,2.7345692880843546,3.515257625089574,3.233597185213985,3.658077677709988,3.5772007215523245,3.515724884289062,3.5335572815045357,inf,3.4971912295084118,3.2233096183039054,3.424730360975936,3.5138691288467188,3.4542319311094882,3.3897476792031975,3.516294233832407,inf,3.3977424336872106
reference_38,5.107842138807535,4.104455880498886,4.079890791602409,4.165977191123963,4.130453436871155,3.933236338681698,3.906404767214069,3.878535896929979,3.477339561521924,4.142483121201277,4.053036735804975,4.149157711339349,4.148010779375125,4.102800563712597,3.9831213729566337,inf,4.111398478902161,3.99891906182029,3.992257024838859,4.122318121709484,3.93178589838466,3.7774228566706474,4.1143795032444,inf,3.9618714280586245
reference_39,4.022766027333831,4.00965070731768,3.448381496330491,4.051226628682224,3.290379115832831,3.8906196357872096,3.877547444775456,3.266563639664593,3.8496774228533637,4.078961260481272,3.303627599003093,3.233352396299548,3.243632164672692,4.051540092677482,4.026743686576013,inf,3.4636087664800823,3.9058350290993147,3.0504884656427005,3.8233234806835936,3.5789017758998325,4.02830101150061,4.062520128383481,inf,4.008552169347162
reference_40,4.794277288056343,3.7628925005992855,3.4645261336133824,3.4765993440641014,3.654673321341054,3.3179052668089493,3.2640574113687584,3.400374183768177,3.249177577954556,3.4905197126023593,3.3988143969433637,3.585199375429142,3.5935560517859186,3.4639427522409143,3.474326424785833,inf,3.498749077923102,3.237652236871051,3.378703963463081,3.5107432516127663,3.459459053585108,3.4223264000966673,3.4696158641742265,inf,3.4653451605339742
reference_41,4.784720694460104,3.706354962407517,3.1457669887307254,3.5156591785556124,3.6326802480615483,3.3738927016482507,3.312242840083673,3.386088872497158,3.018825586470955,3.6021611626217496,3.4551105012644308,3.6594769960867133,3.588530723462938,3.2119093233424247,3.492777639971034,inf,3.4612253463295573,3.2735341136596205,3.3965680370119893,3.5540354509275103,3.4674134813345394,3.234641824622042,3.530989263180088,inf,3.0318958063613364
reference_42,4.777132771171331,3.6557709279392956,3.3743378462641718,3.4416341226446625,3.517192123607376,3.291014151771903,3.177602172210507,3.3203417914332745,2.8996370905981603,3.5680680655385255,3.3505844979059183,3.6584794409048387,3.6207997337266447,3.4149901236810685,3.4180815077465057,inf,3.3904558701648115,3.1842779474347878,3.388940662485681,3.5194150500331314,3.394092512986037,3.3506842148288745,3.525634246453762,inf,3.2714121845219495
reference_43,4.963197258956029,3.7859786695137525,3.250254892619704,3.5862729787488714,3.6791287964423716,3.347619629293491,3.183599247624563,3.414888469285514,2.759602408414513,3.4135486952863707,3.3764190598444737,3.7153608068558963,3.6765590353531863,3.24709594914005,3.4258459291983616,inf,3.4873131540248297,3.2798438904475753,3.517939706501309,3.4547933980605388,3.4237058578002135,3.3646676691430115,3.420030629699327,inf,3.3366986103012115
reference_44,4.729792112393379,3.70675981566,3.5129144634975193,3.56562992225647,3.7855745487440133,3.3699800622645615,3.311500622221338,3.382850559975147,3.2872573601708885,3.573750147299409,3.5837525363810876,3.7377075413193808,3.7710330371467595,3.4508887136768105,3.408580429813981,inf,3.5434925279865266,3.285867577696636,3.3933835650110225,3.5741054403196437,3.41670997706141,3.4714524703020766,3.5678282905955316,inf,3.520093499559403
reference_45,4.898776531070709,3.789052135496527,3.318921406373956,3.4318879289678637,3.6440684746775625,3.3866219609083235,3.189312910643934,3.3562030967030525,2.951138455807213,3.4429045295643808,3.1266351287164094,3.5608404181402205,3.589652461732829,3.3913816438331006,3.4833457942537667,inf,3.4667555594310167,3.212549722058017,3.4118147070240608,3.4239363451374865,3.430763665437238,3.155771638102273,3.3589585029058457,inf,3.248228185041887
reference_46,4.909862450704025,3.781477324129296,3.336477549820331,3.4273719435962535,3.6877402162604556,3.3343676396711954,3.1976062836256123,3.3558367261138518,3.151362720517848,3.462970499049966,3.487048805895777,3.6791566354079963,3.7192520256040877,3.261766570048101,3.344673790324527,inf,3.522148917919872,3.109951929540855,3.462994180661664,3.427694801647003,3.4285973590339167,3.0722247064257466,3.3521327396116014,inf,3.21592789182575
reference_47,5.173421775928335,3.938617102101712,3.625545159743525,3.777282733363545,3.942759862223934,3.3820658044619685,3.3950764073089026,3.715770375136903,3.3759670618881152,3.641975724856368,3.7366782848807176,3.9793943344782514,3.9708888745582915,3.5587688966466415,3.6133841852837625,inf,3.789817624335488,3.3255852765090173,3.6611915996904942,3.7055622139245403,3.652153946154988,3.593928970932269,3.65944025804092,inf,3.486105106036162
reference_48,5.031633262424486,3.9045765079316217,3.4148298329442945,3.658959157219675,3.8106321702524135,3.4635516620379754,3.3156694549504055,3.609038826836716,3.2766940899477413,3.532697656838875,3.4903522950326775,3.7938015991421423,3.7918809307092394,3.3544195430028507,3.618099651114481,inf,3.646996939720851,3.395509286581585,3.6535622818032314,3.5888806266965574,3.4960871053615326,3.282765701947009,3.503764554546334,inf,2.869486583375156
reference_49,5.141431131837512,3.9777052037713054,3.712938310394926,3.8251432332921653,3.9699501484947173,3.6949641174596626,3.5712752668665453,3.776571014030336,3.517506471898209,3.722283764198539,3.828027427254272,4.015184784383663,3.913019081015814,3.664697299546159,3.761197632568371,inf,3.841656623598579,3.543630609375225,3.831436909509766,3.812614013831532,3.819762335945307,3.430129464618656,3.708897467485683,inf,3.6966655460343687
reference_50,4.660408374928712,3.57093268676877,3.3704834587850003,3.4872398593202827,3.555463813317902,3.249933816679805,3.1617919710592646,3.2904389008340833,3.0724262162445415,3.4585284353649617,3.4093043796110876,3.619017911365821,3.6572629145956514,3.3648981547093393,3.2812974470456604,inf,3.4016556997085807,3.0816226449927293,3.3333966572972105,3.450684825850882,3.315976698230794,3.272048929550067,3.4035772953372003,inf,3.2915392746803285
reference_51,5.304491955566049,4.14798437139988,3.7655249533014987,3.7468724037439225,4.197360797306584,3.7197038605248927,3.621851740345978,3.796476070858777,3.3024257485157587,3.7758861783747077,3.8125036476740357,4.042993132238004,4.05559445251248,3.6521034218370914,3.6326095726222754,inf,3.9246590066062215,3.4165535203814144,3.7490881296250578,3.814454705890991,3.8260331773469005,3.79462068695342,3.7813482436297536,inf,3.7938777043945318
reference_52,5.079711159391999,4.131992990416646,3.6636304780155275,3.7423921473143698,3.9603973098285623,3.620946916153431,3.533157234226046,3.7298300130978226,3.442819188964996,3.340787418251395,3.8205228171080665,3.7976951515938335,3.7016839685689216,3.6020759610487225,3.653368252531099,inf,3.840965614115298,3.424636810249321,3.615134785881123,3.5506640858583407,3.6581205722384955,3.672746343288294,3.390774547469497,inf,3.673939717109776
reference_53,4.741625679972172,3.695195626876831,3.4336514204899258,3.5214357212120295,3.6413604000682054,3.2789954604183436,3.1582941439158256,3.375905748930216,3.0840032889717097,3.4934261886134146,3.4227048481098183,3.698032996766377,3.6880686890509606,3.3974449776301383,3.3672690890265704,inf,3.424450751810789,3.0983123093409723,3.3812246754937374,3.4941775014025347,3.4194796907966034,3.357583430656962,3.462009678130388,inf,3.339872275122214
reference_54,5.237858035597801,4.232468782555818,3.9490571060664736,4.024078211979509,4.115782189854733,3.89354166015774,3.792827329621838,3.930600725277543,3.761631725402794,3.7488793725528717,3.994852304781522,4.191684707252861,4.105389926713372,3.8739772661268708,3.9277574708211422,inf,4.030617925261259,3.792439818686257,4.031382283074612,3.9597103591810447,3.9755333581162287,3.8763937333640786,3.8920681403994557,inf,3.822111972478009
reference_55,4.675666645123481,3.673689986839771,3.4517870770301293,3.534260512588024,3.7142134564048064,3.332234059978366,3.2627398841807063,3.3601928580584524,3.2222579869481494,3.5270171988354924,3.5473992598095268,3.6859188777635628,3.726200390379334,3.380531250563145,3.3463470244741913,inf,3.4729728028082847,3.2343154010484616,3.3470349945179727,3.5230327889681283,3.3797519321873875,3.431363020164155,3.5096987100419996,inf,3.4565461296751505
reference_56,5.09084999215305,4.017158856824896,3.326962762643838,3.704024606045591,3.8992171518359706,3.5296166202837216,3.3306990900865996,3.72959379209431,3.4229235411494545,3.4557895261509577,3.7437979037006928,3.901872552930506,3.805921319092526,3.1490075151137598,3.741087337988522,inf,3.8435626872762017,3.4951588442680994,3.7394091290358493,3.659143374469699,3.6840861265460516,3.3101799186621554,3.480844521587781,inf,2.7989197120458833
reference_57,5.004231700833314,3.9272001893432753,3.645929779527739,3.6661884674975243,4.0062936292842934,3.62217015138965,3.4941830655638806,3.6928499271551782,3.4432446162605,3.7541027866026773,3.8055904287291122,3.9513948098570117,3.985953801823367,3.5693671577466617,3.7057209819345722,inf,3.782949850126917,3.569130042231338,3.7225161943606335,3.7644578007695197,3.662404587222984,3.447050091800676,3.6311467217949045,inf,3.486930096875197
reference_58,5.213240409823179,4.187192060494542,3.8712507353771524,3.9531535057295564,4.171502098185436,3.7520647434279324,3.6979571419483,3.9223997803689836,3.6065930567992863,3.8377796603146197,3.9476723293383644,4.209496680749074,4.106437491034699,3.7912057693573233,3.905588266514969,inf,4.024373997356414,3.6732765246382444,3.9056052868977917,3.8940351079887825,3.8624106529296025,3.649548575409863,3.8166965735594034,inf,3.3593812770466807
reference_59,4.935212589800078,3.837063732492114,3.1898354603044567,3.586309349499963,3.663119447568418,3.465894197966875,3.2981822823107065,3.50254782730176,3.2503369454713367,3.4681654687237407,3.5850980599058566,3.7503549735985393,3.7128331421366982,3.007905614132676,3.5002118171225383,inf,3.6448602563204275,3.352778967331493,3.589585745133561,3.5564688748106184,3.5055404690018306,3.291002661463128,3.374317090274599,inf,3.204705435897932
reference_60,4.675998097826004,3.6488503184251786,3.4254139126925223,3.504033990456462,3.699366381845263,3.31620676196301,3.2239595953781075,3.306202755060196,3.207814594230633,3.49041790589118,3.514677599009946,3.653215079334707,3.693608722045517,3.3592039631619452,3.3162914517070528,inf,3.433264895554781,3.207372885490785,3.333062384539008,3.4876878105445432,3.3455441830710493,3.4197899064111925,3.4735892920936347,inf,3.4389635149798394
reference_61,5.046860713827585,3.946228387656907,3.305333253877398,3.6064835075600317,3.836303075705889,3.4924254115980724,3.349397325905144,3.581901191862999,3.3464412329302533,3.5628327169949707,3.6093286815115206,3.919989632166543,3.8332659382652428,3.0985389470589713,3.502391903629742,inf,3.7036874259479164,3.394587460849287,3.645257574742353,3.6532352755447506,3.642730485206774,3.189593336994647,3.5417496302397544,inf,3.017230830196239
reference_62,4.996691857994131,3.918765876636964,3.5083447921361794,3.567458388357257,3.789092901904215,3.418019193161854,3.250929107596741,3.488410885727791,3.205471482354123,3.440960404819735,3.4620282112828864,3.809521824791977,3.7992006588829765,3.4909454766297863,3.5268308560856085,inf,3.56657738820065,3.2528365807519757,3.543847271765737,3.5474987655012726,3.5013757066930933,3.172233747674146,3.4324314624643697,inf,3.105713928128112
reference_63,4.993577005047798,3.7618627880887745,3.441285013477216,3.536450221972525,3.7290168789766693,3.3179349516108037,3.2045400480795116,3.479916588979697,3.134650739016906,3.4386222173775076,3.4949276373527502,3.764409269622412,3.7324263246871947,3.4195418407134173,3.4357002263159755,inf,3.590600099310529,3.080607582065802,3.432721878687655,3.5194625181767916,3.4250076429826968,3.262314270584151,3.416296952363801,inf,2.987553973035622
reference_64,4.887894157571197,3.7099072697691917,3.3809109754759112,3.480315547627449,3.6782672268473435,3.306180565659165,3.089004357923128,3.409791485714078,3.1618274090486604,3.386570823032558,3.492630077126738,3.739804136403597,3.7216256742552525,3.350097948097467,3.3259646690156695,inf,3.48488514356643,3.167625759916189,3.30389068524788,3.4061726601907902,3.2657023796883764,3.350054462357708,3.3884615284767747,inf,3.2975217454851156
reference_65,4.692235265864493,3.6816061067694648,3.363923768530256,3.5163896609905385,3.678123352850213,3.4867297890918856,3.347041257885184,3.4494672859694213,3.2699684924462846,3.6216302973669414,3.4942535669922616,3.6223992067961186,3.6311935681419567,3.494454177148229,3.552590130565782,inf,3.4269803913630024,3.285492548783228,3.379625139859065,3.5717698356081673,3.45543169760297,3.491655681107817,3.597458022049577,inf,3.5607985995726326
