ref,citation_0,citation_1,citation_2,citation_3,citation_4,citation_5,citation_6,citation_7,citation_8,citation_9,citation_10,citation_11,citation_12,citation_13,citation_14,citation_15,citation_16,citation_17,citation_18,citation_19,citation_20,citation_21,citation_22,citation_23,citation_24,citation_25,citation_26
reference_16,3.6919597338793353,3.268230395281255,3.574944495581129,4.233702845062494,3.384594334161401,2.880370360010147,2.881315711855714,3.2033390298876574,inf,3.6994395213284177,3.5328477488389884,3.306176431666294,3.571355672821569,3.505661031310833,3.428367025940567,3.507839233896424,3.739438498660004,3.0064507393806257,3.089825013970941,3.1103754801144006,3.2610163958387375,inf,3.6830693548766074,3.3888311143593457,3.2500030278242313,3.1302442757587796,3.674296118162155
reference_17,3.4758476581633584,3.7063399948532565,3.3953270176757533,4.553139963784981,3.1269786884136206,3.432730417803431,3.2409217700259205,3.4321389450570523,inf,4.037103482996723,3.0615399489571646,3.5390762663625384,3.842396812263966,3.8189574145759964,3.761306496808978,3.8542325039740377,4.060701116131735,3.3942392474074135,3.3640263216299124,2.8664900312469728,3.3155653606620077,inf,3.3564397258232836,3.9511812223347893,3.468448094289093,3.658043209947265,3.9491557218877795
reference_18,3.5165520761588938,3.6366255140085633,3.2903265151504257,4.455263934356801,3.1366915684806593,3.250351395974357,3.3122647804972734,2.6860621573995065,inf,3.915176205476271,3.246805245226581,2.9636203089742508,3.4170758592142345,3.3474069956288743,3.557122505540224,3.419912797852148,3.9703182795333136,2.7559613652726513,3.4869345711131565,2.7430603167355287,3.4077973676214244,inf,3.4900108265275445,3.6933667503196492,2.7807030443446625,3.455019179072604,3.849839940709365
reference_19,3.4761490700834083,3.648119131783927,3.274150215260707,4.460317409339769,3.0770841354470315,3.241340366847425,3.1245269347650804,2.676296438234037,inf,3.919000270798069,3.2993729493059485,2.9888747888738156,3.7325562512954535,3.676462747854121,3.617141072519632,3.745151800541349,3.9579194225600753,2.3502041653749988,3.3040013895869706,2.656458817447385,3.2235959757513957,inf,3.166473505455269,3.6089208677218885,2.4415641206739473,3.4483490597700244,3.7983059796247245
reference_20,3.6110055642956143,3.7422264333644444,3.3984203730551887,4.541352223321019,3.225295046975156,3.4512837131352616,3.4408671654130965,3.0889485807282386,inf,4.008965999356548,3.3791345083397313,3.1812771485975477,3.846311677650449,3.745225798445831,3.726558371884244,3.8479503655955463,4.0676832070816165,2.84228995089539,3.594705356229374,2.922016246424109,3.6235921156627926,inf,3.5861886345873764,3.897516937626203,2.9656602290156133,3.625235795066007,3.961145176264386
reference_21,3.692014982694121,3.6211044340069245,3.3890398938274466,4.369903037597624,3.3442228524823867,3.3287588696125674,3.4568029024600513,3.0490251888510977,inf,3.8438627394388063,3.495917004507028,3.348925480558004,3.6156006550407778,3.3562629955018597,3.6342991796087745,3.5802417722837636,3.892093582998165,3.1429232312442856,3.6079933160278026,2.9522031789509207,3.557362785754132,inf,3.4648446894737575,3.67497159296873,3.2189751547523295,3.465049613852626,3.8085975632705558
reference_22,3.4969653709974233,3.718009184745436,3.3411962942176654,4.498171690107532,3.0549796870335792,3.4221658953817014,3.1774541050391436,3.135742626745492,inf,3.9781426240224365,3.372359021030542,3.065139262298364,3.8166560014961957,3.7253398821610415,3.720859440034095,3.8216765060257187,4.006146964835398,2.649748351239338,3.537248675348987,2.7736628884893317,3.5690133071723618,inf,3.471037319095171,3.74758222290161,2.6612980513757734,3.5750956895540456,3.893346162804103
reference_23,3.858383075932881,3.8746087156492184,3.5468253787731157,4.4244459588096,3.5114641641664908,3.73747755702158,3.712113578865796,3.6380458133765345,inf,3.920190140450725,3.7301500425303242,3.751820477625371,3.9947640080359745,4.071132709537671,3.887804224640438,4.057437373095134,4.024975473661834,3.3048964258369393,3.82590396360575,2.9482073498367676,3.714724220731972,inf,3.9230249819252645,4.133239190978699,3.4987486575869013,3.898249852680522,3.972848163598741
reference_24,3.5687559391206656,3.6234287875516618,3.3295496531815645,4.461105230301413,3.2536170223446006,3.337495207625427,3.2612091656388027,3.1825685596322932,inf,3.9410791938470506,3.467694893926225,3.325219118793254,3.5754416467304697,3.7401221167677328,3.6344674708113756,3.7572143048047133,3.982695255938845,3.0167484568604697,2.863097574942678,2.875873721105134,3.373246183549977,inf,3.175385488750575,3.9054282748900095,3.241386678515605,3.64795470157154,3.8752192258430798
reference_25,3.387826301845553,3.600649533539332,3.1935601714416437,4.39611475861609,2.886690392178583,3.309916854535997,3.0578398026305806,3.1986419691035444,inf,3.7993616764570306,3.2074446997046353,3.348826467317279,3.70415227004714,3.678378387941179,3.639639188158107,3.650078584462086,3.8856973654205307,3.1410625045399887,3.2848412368028055,2.5628064299196005,3.0175655501768586,inf,3.0955702802748677,3.7355450025072896,3.343919528539215,3.582413376156323,3.728225747518658
reference_26,3.609171344998227,3.694523207239463,3.2432235549957826,4.5406642694244645,3.2337509800558104,3.3967701696929717,3.189276538778026,3.4159863505268024,inf,4.013020924573453,3.481136840405679,3.4189429216433536,3.6806295603454857,3.562094827845747,3.6986468983507828,3.6425532396066576,4.039179870518799,3.205685542521611,3.3963024385764835,2.939229406323196,3.3681880992898368,inf,3.4637830960486906,3.6967175362508238,2.998309324267567,3.568413383304859,3.9433972515074514
reference_27,3.562955077310991,3.746422066250374,3.4379210723609837,4.62047881726265,3.2799162564046385,3.580023317716271,3.3576436916837995,3.511855325785017,inf,4.070090301886438,3.337410413951432,3.557639796904027,3.8723988941524623,3.814865171864641,3.759393813571615,3.8984003269704837,4.110020058852287,3.367156647414162,3.609008926738368,2.993063867430925,3.614056670510471,inf,3.582100232182145,3.90440978277461,3.5502198109526257,3.5218960546769877,4.056372794931233
reference_28,3.629183429268544,3.424830484656865,3.3871816568029685,4.524318209396785,3.2725985564696436,3.4985907492555377,3.3264284379920133,3.4177852539376072,inf,4.022223676943096,3.4814770858676414,3.5774324100582,3.8934004847303068,3.877491255732501,3.405380243385659,3.805998928655789,4.053123156491768,3.3946872186995045,3.4560203088178767,3.0446685688804807,3.1524466072937383,inf,3.317403787948277,3.899954685185616,3.5380473016854386,3.7931314816730546,3.943083410068082
reference_29,3.0169127966270333,3.654301896571495,3.384453096470408,4.501229772258759,2.8795184220863344,3.5309964857234477,3.1621409811887338,3.3974564189036904,inf,3.935345082436085,3.363038688505991,3.4026822309865765,3.824734543614196,3.724777706506958,3.7263602685031523,3.643043730203207,3.9457552434978114,3.288550915470019,3.4928194040802776,2.7412698270561218,3.4977974858925815,inf,3.5154102254891395,3.8342805202923205,3.4388874765702586,3.669155159418597,3.9052855232715604
reference_30,3.4974842419359033,3.70487422677387,3.372403479487082,4.559346058599315,3.093719240328015,3.3524787661731463,2.9820639909265507,3.2065596774012524,inf,3.9775379806247653,3.3916664018840286,3.325508235441595,3.8116621313539665,3.6931362527011387,3.69551080628473,3.7499452519993346,4.052505007378715,3.150698276352523,3.370667195681531,2.8668343283708886,3.3087989273222127,inf,3.3662073131573784,3.724863617481763,2.98159726202461,3.532751740321108,3.959999529802761
