ref,citation_0,citation_1,citation_2,citation_3,citation_4,citation_5,citation_6,citation_7,citation_8,citation_9,citation_10,citation_11,citation_12,citation_13,citation_14,citation_15,citation_16,citation_17,citation_18,citation_19,citation_20,citation_21
reference_10,3.3806650303017824,3.260819323174091,3.005482089461058,3.365977011614478,3.5295262790040245,3.336351703548145,3.2477927015067465,2.8402045949404835,3.358577230223302,3.397677296185894,3.6243298524632452,3.2482650233757444,3.5109724287368844,3.1103429416181085,3.1912536527252433,3.251426721552542,3.3699302344451336,3.0526928252397902,3.010399848030909,3.6063925471999645,3.2403073772987865,3.2656773943811825
reference_11,3.6103976114643177,3.4382747169134342,3.4037411230077725,2.625763631752831,3.052585038130073,3.2571870947415307,2.8541131452770565,3.091296054214041,2.5108740852210976,2.6296195061206413,3.5564303619803272,2.7408763635153393,2.853403434989279,3.3475965886052355,3.295427626344033,2.919579133334605,2.6172845243471037,2.875022245096099,2.329032059391208,4.165559374959432,2.7291651995643007,3.0613871036741425
reference_12,3.677510590740109,3.622125523616325,3.617571962487651,3.011279832005839,2.9260688667783583,3.3533373745369053,2.85785497554593,3.3782092022415,3.352555523186212,3.3295832812389254,3.6257544999467273,3.0280298996883475,3.529125058785619,2.3614494410882534,3.3464236989392253,3.006468343989263,2.9311060698351286,3.005760743156877,2.888571128757396,4.306030276592874,2.9595171668392495,3.130586387729477
reference_13,3.214304595876457,2.8139949841495397,3.663289894589432,3.4194728415694375,3.472555132350141,3.4920179816034893,3.083198118114033,2.2767690274194914,2.9726012033500986,3.1938959876741166,3.6489930098222505,3.2483949342767966,2.940820133066698,3.512168350748836,3.4848993604739733,3.2062210775262345,3.4299638159456305,3.226092450481206,3.1620128197189383,3.7512020288052303,3.0951936816528782,3.2859238757740634
reference_14,3.78372453965571,3.4353694582784624,3.574689109018716,3.451458090201492,3.5402949264495986,3.503016484153344,3.311205348063518,2.8942908968789696,3.3281384070131073,3.3927453057351684,3.6807344000048348,3.2020702479137304,3.527769480157838,3.5161637486280353,3.344201412106268,3.245495972970118,3.3888471187546942,3.086782089086935,3.1864963146400127,4.267701769920595,3.1393613414473562,3.2246819243426623
reference_15,3.719103399433387,3.460231664658817,3.5331611018127065,2.824288541191299,3.2321718007922406,3.4257410167178612,3.132143525029907,3.062384506192917,3.060371361290399,3.0356203460548845,3.5752308688182386,2.899933212688017,3.1422083355768904,3.0887514763120447,3.2821265867438285,3.2963519350942896,2.898201822784005,3.1813442436381782,2.425247646616892,4.253879914684395,2.913582732445797,3.1462345339871636
reference_16,3.562729152138238,3.41159557704542,3.3967358703902035,2.863363476274109,3.2845495524627295,3.25037296233509,2.984014038336611,3.10869123687343,3.125926302379507,3.1727875969230124,3.4714457478474143,2.8487654764222623,3.0235184591707855,2.744496366356659,3.0857060684363202,2.703312559226143,2.8247602002956804,2.706147682858018,2.6427844343595677,4.0682883362392674,2.753804974051669,2.984296185949844
reference_17,3.4947853973688874,3.622360525718956,3.5962780524720714,3.4831186057445525,3.3445595024630124,3.5048686368840354,3.412054334409285,3.488872108096123,3.49869506975527,3.549820772403445,3.7001185344644063,3.494202444526804,3.624559984210236,3.337716748395348,3.4742771506066803,3.476694649510622,3.3852194198725147,3.2863364057914524,3.4460038152269785,4.260805502745438,3.4922409661528127,3.3119245263360875
reference_18,2.6361087479007144,2.7203065409850535,3.2619879226361306,3.5118214946631197,3.364738599369169,3.2044625251510976,3.4210218678188324,3.0673258124383094,3.350956707491749,3.272683349827687,3.6144748149497508,3.3238380263305376,2.4768123685982615,3.4119937964125153,3.504519688302778,3.3682672941105283,3.0406542029357126,3.2975208808413408,3.4283273501939218,3.6163490954208375,3.3689691696853656,3.2480864851466413
reference_19,2.9473287593943147,3.0078826944145383,3.4764216957345173,3.442220405512137,3.151131176161579,3.52508923216431,3.294562560040518,3.0299048080379465,3.3307242444517557,3.425917103278006,3.5609727031845226,3.384711444500419,3.091602123567567,3.121213124072796,3.4272324361701036,3.350782720081061,3.3432568458349965,3.2037959234095,3.2301039538345764,3.767160786239227,3.187216889262761,3.220187209463581
reference_20,3.197544949496337,3.0392750055735913,2.877328210071548,3.2607765868823533,3.276833425946607,3.3838575951296974,3.1645281537489884,3.0190520376551158,2.999036767168904,3.2611978148393335,3.5991005179994584,3.0846293422736273,3.308432297541325,3.333257610998727,3.2000728338407307,3.105689552922082,3.1653465191151993,3.014178661078819,3.2152596182943114,3.6443458515312677,3.0431860957894585,2.978469438849562
reference_21,3.5430472584778907,3.318830478080083,3.2991101809742744,3.2421890578133348,3.132858632945322,3.2556216973520735,3.1001707690722378,3.1472448998279337,3.138664088049156,3.240790391862526,3.344502471609629,3.2084639249636484,3.3128682227325976,3.1634325882036,3.182122129260878,3.1156051483540534,3.136605115478549,2.8973037101766916,3.1579163680283444,4.016201525232519,3.18295255232397,3.0037258772213398
reference_22,3.762751613395836,3.512932405023903,3.605887954004087,3.4106368365856707,3.4678308682933245,3.482954195238411,3.345455358712935,3.220750164593607,3.1736560235886824,3.432031336410612,3.66105046120476,3.3226056019571706,3.583517912124572,3.446033265071919,3.3922038639718224,3.298677591959894,3.369089307840116,3.281699116193119,3.34933604381045,4.29644255757661,3.328096832251863,3.1636237442928405
reference_23,3.6574729588397923,3.390133473910145,3.4263417834681684,3.178252421136474,3.196858839139059,3.3480469255898213,3.1446105666028026,3.1889470437794922,3.170291309111348,3.182917547672106,3.5053504773757456,3.1964068130846996,3.3657188505055298,3.1818489000922203,3.2626439458518957,3.0907220012445196,3.1166659884272945,2.9660442678674395,3.1844920412799986,4.082589695720673,3.2033959688110367,2.9630964478239776
reference_24,3.7225408007907985,3.505294864947247,3.469304301900042,3.429553955754508,3.430162599858136,3.3059504511725737,3.0975755810048953,3.2431681396645593,3.320116420483969,3.358789066299674,3.603679630567806,3.26030211190847,3.481101303872991,3.1797915698094967,3.2268702749986593,3.145599943914149,3.3133335905059638,3.1458290710396652,3.204998796973201,4.171874814129763,3.2608658149748635,3.0504824242640454
reference_25,4.269510425968292,4.251317521168878,4.936479887209672,5.056542314563274,4.97391487205374,5.087300660509794,4.924368546638489,4.605014197876066,4.951466543040399,5.074424908897809,5.01725772425437,5.049873101855486,4.259048954560297,4.844365848163796,5.083823779781237,4.931314871894837,4.923412742152625,4.695221946097315,4.950441389312422,3.7590652467536927,4.9951297508125325,4.826952706400404
